nome_completo,filiacao_pai,filiacao_mae,data_nascimento,sexo,naturalidade,local_tirou_cidade,local_tirou_estado,estado_completo,data_emissao,validade_identidade,orgao_emissor,cpf
Théo Pacheco,Théo Cunha,Heloísa Castro,11/04/1955,F,Câmara Grande - RO,Cavalcanti Verde,RN,Estado do Rio Grande do Norte,15/11/2017,15/11/2023,Instituto de Identificacao,969.193.604-98
Vitor Hugo Rodrigues,Vitor Hugo Porto,Nicole Sampaio,28/05/1966,F,Cunha Paulista - ES,Vargas Paulista,DF,Distrito Federal,15/04/2020,15/04/2026,Instituto de Identificacao,833.911.399-49
Leonardo Guerra,Kevin Souza,Sofia das Neves,27/08/2013,M,Martins - MS,Ferreira da Serra,SE,Estado de Sergipe,13/09/2022,13/09/2032,Instituto de Identificacao,750.001.605-29
Julia da Rocha,Luan Porto,Eduarda Moreira,02/09/1959,M,Jesus de Sampaio - PE,Nogueira de Porto,SE,Estado de Sergipe,13/09/2016,13/09/2023,Instituto de Identificacao / PC SE,806.810.279-23
Gustavo Jesus,Pedro Lucas Carvalho,Maria Flor Moura,04/07/1973,M,Dias de Goiás - PB,Rezende,MT,Estado de Mato Grosso,22/05/2017,22/05/2022,Instituto de Identificacao / SSP MT,393.675.563-18
Nathan Lima,José Miguel Souza,Sophie Nunes,27/06/2015,M,Oliveira - AL,Sousa,PB,Estado da Paraíba,02/05/2013,02/05/2020,Instituto de Identificacao,646.393.886-42
Maria Isis da Mata,Thiago Fonseca,Vitória Martins,24/04/1943,M,Camargo Verde - PA,Leão,MA,Estado do Maranhão,29/04/2013,29/04/2021,Instituto de Identificacao / SSP MA,085.125.109-72
Luna Aragão,Rodrigo da Rocha,Lavínia Sales,08/12/1994,F,Cavalcante - RJ,da Cunha de Goiás,AL,Estado de Alagoas,30/06/2019,30/06/2024,Instituto de Identificacao / PC AL,611.058.971-86
Luan Fernandes,Calebe Pastor,Mariana Freitas,13/11/1959,F,da Costa Verde - RN,Freitas,DF,Distrito Federal,05/09/2014,05/09/2020,Instituto de Identificacao,965.729.404-79
Murilo Fonseca,Miguel Moraes,Bárbara da Conceição,05/05/2023,F,Machado Verde - AM,Machado da Mata,AC,Estado do Acre,19/11/2010,19/11/2020,Instituto de Identificacao / PC AC,222.963.172-20
João Guilherme Novais,Joaquim Duarte,Camila Souza,30/12/2006,M,da Mata - PA,da Rocha,PB,Estado da Paraíba,20/07/2020,20/07/2027,Instituto de Identificacao / PC PB,251.038.929-25
Maria Laura Pimenta,José Miguel Moraes,Aylla Pereira,11/09/2013,M,da Rosa - MG,Teixeira,PE,Estado de Pernambuco,17/06/2017,17/06/2024,Instituto de Identificacao / SSP PE,213.564.825-98
Otto da Mata,Juan Alves,Gabrielly Viana,24/10/1975,F,da Cunha - RJ,Correia,RR,Estado de Roraima,08/06/2012,08/06/2017,Instituto de Identificacao,397.546.777-00
Renan Machado,Guilherme Rios,Jade Monteiro,21/09/2005,M,Silveira - SP,Castro de Siqueira,CE,Estado do Ceará,08/12/2023,08/12/2030,Instituto de Identificacao / PC CE,026.488.932-92
Pedro da Mata,Luigi Sousa,Vitória Nogueira,22/09/2000,M,Ribeiro - MS,Leão,DF,Distrito Federal,19/12/2013,19/12/2023,Instituto de Identificacao / PC DF,838.836.951-94
Julia da Mota,Gustavo Henrique Carvalho,Heloisa Garcia,26/04/2016,M,Pinto de Goiás - RR,Casa Grande de Gonçalves,PB,Estado da Paraíba,18/05/2021,18/05/2028,Instituto de Identificacao / PC PB,129.466.871-40
Melissa Montenegro,Liam Peixoto,Ana da Cunha,09/06/1941,M,Nunes de Barros - RS,Cunha,MS,Estado de Mato Grosso do Sul,23/05/2011,23/05/2017,Instituto de Identificacao,339.685.596-41
Oliver da Conceição,Yago Silveira,Anna Liz Santos,05/09/1970,M,Sales das Pedras - ES,Sá,RR,Estado de Roraima,14/08/2014,14/08/2024,Instituto de Identificacao / SSP RR,184.782.044-66
Alana Martins,Ryan Moreira,Maria Júlia Costela,03/01/1971,M,da Cunha - ES,Barros Grande,TO,Estado do Tocantins,03/09/2015,03/09/2025,Instituto de Identificacao / SSP TO,233.902.266-50
Benjamim Pacheco,Mateus Costela,Marcela Camargo,02/10/1939,F,Peixoto de Fernandes - DF,Pereira de Sales,DF,Distrito Federal,08/11/2024,08/11/2030,Instituto de Identificacao,425.721.072-63
Bruna Andrade,João Vitor Sampaio,Ísis da Paz,05/06/1952,F,Nunes de Goiás - RS,Mendonça da Prata,MG,Estado de Minas Gerais,27/04/2014,27/04/2024,Instituto de Identificacao,984.766.408-83
Maria Luísa Andrade,Pedro Casa Grande,Evelyn da Paz,29/06/1988,M,Costa - DF,Melo,SP,Estado de São Paulo,16/06/2015,16/06/2020,Instituto de Identificacao / PC SP,958.672.053-60
Luiz Gustavo Borges,Breno Santos,Sabrina Alves,16/09/1976,F,Rodrigues - MG,Moraes do Galho,AC,Estado do Acre,12/08/2013,12/08/2020,Instituto de Identificacao / SSP AC,893.377.384-03
Rael Pacheco,Anthony Sales,Maria Alice Câmara,05/01/2005,M,Macedo do Galho - MA,Carvalho de Fernandes,PR,Estado do Paraná,28/06/2016,28/06/2022,Instituto de Identificacao / SSP PR,959.528.620-89
Rael Pinto,Alexandre Cassiano,Heloisa Silva,05/11/2019,F,Nascimento da Serra - MG,Caldeira de Minas,SE,Estado de Sergipe,31/10/2024,31/10/2030,Instituto de Identificacao / PC SE,210.010.118-08
Camila das Neves,João Miguel Viana,Brenda Souza,15/02/1941,F,Gomes - DF,Freitas de Araújo,RN,Estado do Rio Grande do Norte,10/02/2016,10/02/2023,Instituto de Identificacao,518.523.988-86
Diogo Silveira,Benício Pereira,Esther Silveira,11/01/1949,M,Teixeira das Flores - AP,Cavalcante Alegre,MT,Estado de Mato Grosso,22/04/2016,22/04/2026,Instituto de Identificacao / PC MT,030.203.799-30
Maria Júlia Rios,José Miguel Siqueira,Caroline Novais,27/11/1983,F,Teixeira das Pedras - RN,Pimenta de da Rocha,DF,Distrito Federal,19/03/2021,19/03/2031,Instituto de Identificacao,172.396.114-10
Lucas Gabriel Santos,Heitor Cassiano,Maria Vitória da Costa,07/02/2008,M,Sousa - MT,Gomes Alegre,DF,Distrito Federal,18/11/2017,18/11/2025,Instituto de Identificacao / PC DF,054.215.913-63
Bernardo Barbosa,Ravi Lucca Vasconcelos,Ester da Paz,18/10/1961,F,Souza de Garcia - SP,Jesus,RN,Estado do Rio Grande do Norte,02/12/2019,02/12/2028,Instituto de Identificacao / SSP RN,593.996.438-09
Jade da Rosa,Rodrigo Araújo,Joana Rios,16/05/1936,F,Duarte Verde - GO,Brito,MS,Estado de Mato Grosso do Sul,15/10/2020,15/10/2026,Instituto de Identificacao / PC MS,597.866.759-04
Fernanda Silveira,Lorenzo Sá,Juliana Vargas,17/01/1944,M,Sá - MS,Gomes Grande,ES,Estado do Espírito Santo,03/09/2017,03/09/2025,Instituto de Identificacao,543.596.181-32
Eloá Siqueira,Diogo Rodrigues,Olívia Sousa,23/05/1957,M,Novaes - SP,Sampaio da Serra,RN,Estado do Rio Grande do Norte,09/07/2017,09/07/2023,Instituto de Identificacao / PC RN,921.013.051-00
Gustavo Brito,Samuel da Cunha,Bella Sales,22/05/2004,M,Pinto de Minas - SP,Pires,PR,Estado do Paraná,10/09/2014,10/09/2022,Instituto de Identificacao / SSP PR,612.755.617-84
Noah Aparecida,João Lucas Aparecida,Olívia Carvalho,14/03/2008,M,Santos Grande - ES,Ramos dos Dourados,DF,Distrito Federal,28/12/2011,28/12/2020,Instituto de Identificacao / PC DF,459.089.393-85
Maria Luiza Viana,Vitor Hugo Lopes,Gabriela Montenegro,04/12/1962,F,da Cunha do Campo - MS,Abreu das Flores,DF,Distrito Federal,08/04/2020,08/04/2030,Instituto de Identificacao,102.403.976-41
Lucca Pires,Yan Farias,Elisa Montenegro,03/05/2015,M,da Conceição do Norte - PI,Viana da Serra,TO,Estado do Tocantins,14/06/2018,14/06/2026,Instituto de Identificacao,725.586.776-42
João Pedro Martins,Francisco Barbosa,Eloá Oliveira,29/06/1993,M,Brito - GO,da Luz Verde,PI,Estado do Piauí,07/05/2020,07/05/2025,Instituto de Identificacao,491.865.069-87
Theodoro Casa Grande,Brayan Nunes,Nicole Correia,27/02/2008,M,da Paz - BA,da Paz de da Mata,CE,Estado do Ceará,08/12/2015,08/12/2020,Instituto de Identificacao / PC CE,063.162.456-20
Davi Luiz Marques,Benício Cavalcanti,Camila da Rosa,02/04/1984,F,Nascimento Alegre - DF,Monteiro,AM,Estado do Amazonas,24/04/2024,24/04/2033,Instituto de Identificacao / PC AM,628.889.061-17
Pedro Novaes,Nathan Souza,Ana Laura Barros,14/03/1959,M,Cirino da Serra - BA,da Mata,GO,Estado de Goiás,03/06/2021,03/06/2029,Instituto de Identificacao,736.604.173-87
Mariane Correia,Henry Gabriel Azevedo,Isadora Mendes,24/09/2005,M,Farias da Praia - BA,Gomes do Sul,PI,Estado do Piauí,21/10/2011,21/10/2016,Instituto de Identificacao / SSP PI,297.735.811-00
Kaique Moraes,Igor Freitas,Daniela Marques,10/12/1958,F,Nascimento do Galho - TO,Campos da Prata,AC,Estado do Acre,08/04/2024,08/04/2029,Instituto de Identificacao / PC AC,514.822.270-92
Noah Guerra,Vitor Hugo Cardoso,Hadassa Rodrigues,20/08/1967,F,Gonçalves de Minas - SC,Mendes,MT,Estado de Mato Grosso,29/01/2017,29/01/2024,Instituto de Identificacao,486.052.465-54
Theodoro Costela,Brayan Correia,Mariane Novais,20/03/1961,M,das Neves do Norte - SP,Teixeira,AL,Estado de Alagoas,23/05/2018,23/05/2024,Instituto de Identificacao,046.358.526-25
Murilo Martins,Murilo Caldeira,Lavínia da Luz,15/01/1960,M,Leão - AC,Fogaça,RO,Estado de Rondônia,27/06/2017,27/06/2027,Instituto de Identificacao / PC RO,055.324.500-99
Francisco Gomes,Augusto Melo,Kamilly Nunes,02/02/1992,M,Porto de Souza - AC,Martins de da Cruz,AC,Estado do Acre,17/12/2023,17/12/2033,Instituto de Identificacao / SSP AC,656.131.407-70
Maria Macedo,Thomas Castro,Maria Luísa Nascimento,11/08/1948,M,da Paz - RO,Vargas da Praia,AL,Estado de Alagoas,23/07/2023,23/07/2033,Instituto de Identificacao,752.140.926-78
Luiza Andrade,Igor Araújo,Maria Helena Nogueira,10/06/1961,F,Gomes do Sul - AC,Casa Grande do Galho,PB,Estado da Paraíba,30/12/2015,30/12/2021,Instituto de Identificacao / SSP PB,742.197.642-42
Otávio Garcia,Gael Sampaio,Heloisa Gonçalves,02/02/1991,F,Vieira de Cunha - RR,Silva do Amparo,SC,Estado de Santa Catarina,05/12/2017,05/12/2023,Instituto de Identificacao / SSP SC,988.565.144-15
Yan Sá,Rodrigo da Luz,Ana Laura Pastor,15/07/2019,M,Farias - PA,Vieira de Minas,MG,Estado de Minas Gerais,06/05/2017,06/05/2022,Instituto de Identificacao / PC MG,937.829.198-90
Manuela Farias,Lorenzo Vargas,Ana Laura Alves,18/09/1941,F,da Cunha - ES,Câmara,RN,Estado do Rio Grande do Norte,28/06/2016,28/06/2026,Instituto de Identificacao / PC RN,386.180.496-50
Maria Cecília Araújo,Thiago Marques,Joana Azevedo,11/06/1998,M,da Cruz - PE,Gonçalves,SP,Estado de São Paulo,21/09/2016,21/09/2024,Instituto de Identificacao / SSP SP,010.669.845-75
João Pedro Pimenta,Mathias Moura,Brenda Viana,06/12/2013,F,Cassiano da Praia - SP,Campos de Goiás,PR,Estado do Paraná,20/08/2016,20/08/2026,Instituto de Identificacao / PC PR,049.836.321-28
Erick Novais,Noah da Cruz,Mariah Nunes,07/01/1958,F,Costa - DF,Mendes de Cunha,PA,Estado do Pará,05/06/2012,05/06/2022,Instituto de Identificacao,981.068.894-42
Anthony Teixeira,Leonardo da Rocha,Maria Isis Viana,27/12/1972,M,Macedo do Campo - PI,Fonseca do Galho,SC,Estado de Santa Catarina,08/02/2015,08/02/2023,Instituto de Identificacao,357.364.587-27
Igor Costa,Luiz Fernando Nascimento,Maria Clara Marques,26/05/1998,F,Costela - AP,Nogueira da Prata,RO,Estado de Rondônia,02/11/2013,02/11/2023,Instituto de Identificacao / SSP RO,935.011.746-38
Leandro Leão,Daniel Sá,Olívia Moreira,20/12/1956,F,Porto do Galho - AP,Sampaio,RN,Estado do Rio Grande do Norte,15/05/2025,15/05/2034,Instituto de Identificacao / SSP RN,709.372.953-40
Henry Barbosa,Luiz Gustavo Fernandes,Maria Luísa Jesus,12/02/1939,F,Pereira - PB,Fogaça,BA,Estado da Bahia,02/12/2016,02/12/2026,Instituto de Identificacao / SSP BA,760.407.447-85
Ana Vitória Mendonça,Emanuel Lopes,Melina Montenegro,11/11/1971,F,Melo do Sul - MG,Cardoso da Praia,BA,Estado da Bahia,29/01/2013,29/01/2023,Instituto de Identificacao,447.130.672-40
Eloá Aparecida,Luiz Felipe Cunha,Vitória Costa,09/09/1935,F,Cunha da Mata - PB,Rocha,AP,Estado do Amapá,15/02/2022,15/02/2027,Instituto de Identificacao / SSP AP,995.862.151-99
Maria Alice Aparecida,Josué Pires,Vitória Viana,13/09/2007,M,Melo - RJ,Abreu,DF,Distrito Federal,12/12/2010,12/12/2018,Instituto de Identificacao,704.728.976-95
André Gonçalves,Thomas Fonseca,Maria Flor Viana,07/10/1968,M,Cassiano do Norte - TO,Camargo das Pedras,PR,Estado do Paraná,15/12/2022,15/12/2030,Instituto de Identificacao,342.054.104-00
Alícia Abreu,Felipe Pinto,Rebeca Melo,01/10/1982,F,Pimenta do Campo - RS,Vasconcelos de Oliveira,PR,Estado do Paraná,28/04/2021,28/04/2028,Instituto de Identificacao / SSP PR,347.412.155-21
Danilo Freitas,André Lima,Sabrina Cassiano,20/12/1966,F,Fonseca - PE,Cunha,PB,Estado da Paraíba,07/09/2023,07/09/2030,Instituto de Identificacao,989.024.198-15
Maria Luísa Dias,Kaique Fogaça,Bruna Brito,27/07/1935,F,Marques - AP,da Mota Alegre,RJ,Estado do Rio de Janeiro,24/01/2013,24/01/2018,Instituto de Identificacao / SSP RJ,987.910.832-18
Hellena Pires,Matheus Fonseca,Maya da Mota,10/08/2013,F,Costela - PI,da Cruz,AC,Estado do Acre,14/02/2014,14/02/2021,Instituto de Identificacao / SSP AC,733.995.513-60
Davi Luiz Jesus,Vitor Moura,Vitória Pastor,04/08/1964,M,Abreu - MA,Novaes de das Neves,RR,Estado de Roraima,12/02/2012,12/02/2018,Instituto de Identificacao / SSP RR,781.688.881-30
Lucas Cirino,Ian Mendes,Ágatha da Mota,27/04/1958,F,Viana do Norte - RS,Melo de da Conceição,RJ,Estado do Rio de Janeiro,11/08/2021,11/08/2030,Instituto de Identificacao,981.692.017-31
Mariana Cunha,Bento da Costa,Maysa Siqueira,29/12/1973,M,Caldeira - AL,Caldeira do Oeste,GO,Estado de Goiás,12/06/2017,12/06/2026,Instituto de Identificacao,315.613.629-08
Luigi Ribeiro,Ryan Costa,Maria Clara da Cunha,03/09/1959,F,Gonçalves de Fonseca - MG,Lopes,ES,Estado do Espírito Santo,18/11/2015,18/11/2021,Instituto de Identificacao,120.594.794-63
Anthony Gabriel Pastor,Benjamin Pires,Daniela Rodrigues,24/02/2006,M,Nunes - DF,Fonseca,MS,Estado de Mato Grosso do Sul,02/05/2011,02/05/2020,Instituto de Identificacao / PC MS,610.847.248-74
Yasmin Cunha,Calebe Cirino,Eloah Cunha,15/08/1999,M,Barros de Freitas - DF,Souza,AC,Estado do Acre,17/06/2025,17/06/2033,Instituto de Identificacao / PC AC,552.835.000-55
Kamilly Sampaio,Diogo Vieira,Maria Isis da Mata,10/12/1959,F,Cavalcanti Verde - BA,Oliveira de Duarte,RN,Estado do Rio Grande do Norte,29/11/2023,29/11/2028,Instituto de Identificacao / PC RN,135.160.658-39
Larissa Cirino,Théo Cirino,Ana Clara Andrade,31/03/2012,F,Siqueira - RR,Dias Alegre,MT,Estado de Mato Grosso,23/11/2024,23/11/2033,Instituto de Identificacao / SSP MT,122.162.971-72
Bernardo Freitas,Calebe Alves,Pietra Rezende,15/11/1947,F,Silveira do Norte - MS,Cardoso,RJ,Estado do Rio de Janeiro,28/01/2018,28/01/2026,Instituto de Identificacao,487.015.098-92
Daniel Duarte,Benicio Campos,Emilly Mendes,16/03/1939,M,Novaes - RS,Leão da Serra,DF,Distrito Federal,27/10/2017,27/10/2023,Instituto de Identificacao / PC DF,262.466.764-31
Otto Farias,Théo da Mota,Maria Laura Pereira,19/12/1964,F,Brito de da Mata - MA,Pacheco,TO,Estado do Tocantins,01/04/2025,01/04/2032,Instituto de Identificacao,999.422.390-18
Gabriela da Costa,Benjamim Borges,Pietra Nunes,17/03/2013,F,Ribeiro - PA,Vargas do Oeste,AP,Estado do Amapá,09/12/2010,09/12/2015,Instituto de Identificacao / PC AP,279.670.085-20
Benício Nascimento,Rafael Nogueira,Alexia Cavalcante,22/09/1982,M,da Cunha - TO,Albuquerque,RN,Estado do Rio Grande do Norte,02/01/2023,02/01/2030,Instituto de Identificacao,026.851.774-24
João Felipe Moura,André da Costa,Isabelly Borges,04/07/1990,F,Fonseca - GO,Moura de Pires,BA,Estado da Bahia,02/05/2014,02/05/2023,Instituto de Identificacao / SSP BA,799.629.365-20
Asafe Pacheco,João Felipe da Rosa,Bárbara Vasconcelos,03/09/1956,F,Cardoso de Goiás - AL,Gomes,RS,Estado do Rio Grande do Sul,14/03/2012,14/03/2022,Instituto de Identificacao / SSP RS,564.732.369-40
Danilo Brito,Pedro Aparecida,Caroline Campos,19/12/1987,F,Gomes - MA,Oliveira,PI,Estado do Piauí,17/01/2024,17/01/2033,Instituto de Identificacao,227.286.617-13
Thiago Monteiro,Dante Pastor,Maria Ferreira,11/05/1985,F,Souza das Pedras - AM,Fogaça,DF,Distrito Federal,10/06/2020,10/06/2026,Instituto de Identificacao,399.173.383-08
Juliana Cardoso,José Miguel Gonçalves,Hadassa da Mota,25/02/2002,M,Martins de Garcia - PA,Barros de Goiás,RS,Estado do Rio Grande do Sul,26/10/2019,26/10/2024,Instituto de Identificacao / PC RS,267.084.347-33
Luana Lima,Pedro Lucas da Conceição,Stephany Marques,05/12/2002,M,Cirino Grande - RO,Nogueira,PA,Estado do Pará,29/02/2020,29/02/2028,Instituto de Identificacao / SSP PA,814.803.001-78
Ana Vitória Moraes,Caio Lopes,Ayla Câmara,24/11/1975,M,Azevedo da Mata - RO,Alves das Flores,RR,Estado de Roraima,25/04/2012,25/04/2021,Instituto de Identificacao / SSP RR,944.660.216-05
Luiz Fernando Guerra,Thomas Pacheco,Aurora Carvalho,03/11/2019,M,da Cruz Paulista - RR,Azevedo,AC,Estado do Acre,07/01/2023,07/01/2028,Instituto de Identificacao,032.068.732-32
Sara Borges,Valentim Sampaio,Laís Lopes,14/07/1936,F,Moreira - MG,Brito,PA,Estado do Pará,17/08/2013,17/08/2020,Instituto de Identificacao,931.589.322-92
Raul Aragão,Leandro da Conceição,Allana Martins,02/05/1976,F,Camargo de Mendes - DF,Fernandes,SP,Estado de São Paulo,11/02/2022,11/02/2032,Instituto de Identificacao / PC SP,166.109.226-80
Maria Alice Araújo,Gael Henrique Moraes,Emanuelly Pacheco,05/04/2002,F,Macedo - MG,da Costa do Amparo,BA,Estado da Bahia,30/12/2023,30/12/2032,Instituto de Identificacao,069.560.818-41
Maria Luísa da Rocha,Otto Jesus,Lívia Lima,07/04/1960,F,Freitas - AC,Nunes,RO,Estado de Rondônia,22/04/2025,22/04/2033,Instituto de Identificacao / SSP RO,125.539.159-24
Benicio Nascimento,Bento Martins,Mariane Correia,24/10/2003,F,Abreu do Oeste - RN,Rios do Galho,MA,Estado do Maranhão,19/05/2011,19/05/2019,Instituto de Identificacao / PC MA,793.875.850-43
Bento Cirino,Davi Lucas das Neves,Gabriela Cardoso,04/01/1998,M,Freitas Alegre - SC,Sampaio,PB,Estado da Paraíba,13/03/2024,13/03/2033,Instituto de Identificacao / SSP PB,250.453.959-02
Helena Fernandes,Juan Castro,Stephany da Conceição,02/01/1984,M,Novais - SC,Gonçalves de Souza,AL,Estado de Alagoas,11/05/2024,11/05/2034,Instituto de Identificacao / SSP AL,525.020.680-35
João Pedro Freitas,Emanuel Santos,Rebeca da Mota,01/02/1971,M,Santos - RO,da Luz da Serra,MG,Estado de Minas Gerais,26/01/2012,26/01/2019,Instituto de Identificacao,648.131.763-65
Daniel Peixoto,Antônio Marques,Lunna Gonçalves,08/08/1953,F,Carvalho do Sul - BA,Costela,AP,Estado do Amapá,21/11/2019,21/11/2025,Instituto de Identificacao / PC AP,719.395.960-86
Daniela Ramos,Bento Moura,Carolina Andrade,13/03/2017,M,Barros - ES,Duarte,AL,Estado de Alagoas,16/01/2018,16/01/2023,Instituto de Identificacao / PC AL,099.850.412-76
João Guilherme da Conceição,Pedro Miguel da Rocha,Maitê Viana,20/05/1999,F,Farias de Goiás - MS,da Rosa Alegre,AC,Estado do Acre,19/02/2020,19/02/2027,Instituto de Identificacao / SSP AC,356.278.806-20
Maya da Cunha,Luiz Otávio Sousa,Ana Liz Brito,05/04/2012,F,Rodrigues - BA,Moura,AC,Estado do Acre,31/08/2020,31/08/2027,Instituto de Identificacao / SSP AC,635.280.243-50
Maria Isis Sampaio,Vicente Barros,Laís Silveira,30/03/2015,M,Moreira do Sul - CE,Guerra,AC,Estado do Acre,07/02/2016,07/02/2025,Instituto de Identificacao / PC AC,324.283.741-00
Maria Alice Moreira,Caio Gonçalves,Maria Rezende,18/03/1979,M,Moreira - RN,da Rosa,AL,Estado de Alagoas,03/05/2018,03/05/2026,Instituto de Identificacao,090.367.541-49
Emanuella Porto,Vicente Gomes,Ágatha Alves,08/11/1944,F,Mendonça - ES,Barros do Sul,AM,Estado do Amazonas,11/03/2012,11/03/2021,Instituto de Identificacao / PC AM,240.349.630-62
Clarice Aragão,Guilherme Castro,Maria Vitória da Costa,06/01/1968,M,Cunha - BA,Leão,ES,Estado do Espírito Santo,21/06/2023,21/06/2028,Instituto de Identificacao,658.571.031-58
Danilo Guerra,Enrico Mendonça,Maria Júlia das Neves,12/12/1948,F,Nunes - ES,Rodrigues da Mata,TO,Estado do Tocantins,26/04/2014,26/04/2020,Instituto de Identificacao / SSP TO,742.855.989-08
Isabelly Machado,Théo Araújo,Aylla Gomes,11/09/2003,M,Silva da Prata - AC,Marques Alegre,SE,Estado de Sergipe,10/05/2025,10/05/2031,Instituto de Identificacao,393.025.373-09
Carolina Costa,Pedro Lucas Sales,Lorena Cardoso,11/11/1957,F,da Costa de Minas - GO,Barbosa,AL,Estado de Alagoas,07/02/2013,07/02/2019,Instituto de Identificacao / PC AL,384.550.965-20
Bianca da Paz,Benício Azevedo,Bella Sá,27/01/2011,M,da Costa - AC,Souza,PB,Estado da Paraíba,16/03/2020,16/03/2027,Instituto de Identificacao / SSP PB,683.378.696-90
Henry da Mota,Vitor da Mata,Emilly Melo,06/12/2016,F,Almeida - AL,Casa Grande,PB,Estado da Paraíba,29/08/2013,29/08/2020,Instituto de Identificacao / SSP PB,567.499.355-42
Ana Sophia Montenegro,Gabriel Azevedo,Maria Julia da Cunha,04/10/1985,M,Gomes - TO,Araújo Alegre,GO,Estado de Goiás,16/03/2018,16/03/2025,Instituto de Identificacao,642.503.399-93
Alice Pacheco,Rodrigo Lima,Sarah Sales,25/10/2020,F,Rodrigues - BA,Nogueira de Rios,AL,Estado de Alagoas,27/12/2010,27/12/2017,Instituto de Identificacao,115.551.874-17
Dante Ribeiro,Danilo Cardoso,Luana Cunha,02/09/2022,F,Siqueira de Goiás - ES,Azevedo,RN,Estado do Rio Grande do Norte,17/09/2024,17/09/2034,Instituto de Identificacao,281.950.580-05
Bryan Cirino,Luan Gonçalves,Antonella Peixoto,09/04/1987,M,Farias das Flores - AM,Barbosa do Oeste,AC,Estado do Acre,19/07/2024,19/07/2033,Instituto de Identificacao / SSP AC,493.267.087-99
Luiz Gustavo Moreira,Marcelo Silva,Isabel da Mota,06/07/2001,F,Vasconcelos - PI,Barbosa,ES,Estado do Espírito Santo,08/12/2018,08/12/2027,Instituto de Identificacao / SSP ES,203.924.590-20
